Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG,CO,NO,NO2,O3
1-Jan-10,17.9,23.9,12.8,61.4,91,33,1003.6,1006.3,1002,0.2,4,WSW,35.4,1.4,46.1,44.8,27.1
2-Jan-10,15.6,18.9,12.1,57.4,70,45,1005.2,1008.7,1001.5,0,6.8,WSW,51.5,0.4,3,25.5,60.4
3-Jan-10,13.5,16.2,10,56,76,39,1011.7,1016.7,1008.6,0,5,WSW,40.2,0.7,11.5,41.8,40.4
4-Jan-10,9.5,11.8,7.9,50.7,60,38,1021.3,1023.1,1016.8,0,4.3,NNE,22.5,1.2,27,54.1,24.5
5-Jan-10,13.4,16.7,9.2,70.5,82,54,1018.7,1022.1,1015.5,0,7.9,S,41.8,1,30,51,31.3
6-Jan-10,16.8,18.2,15.8,79.3,83,72,1012.9,1015.6,1011.1,0,15.2,S,51.5,0.4,5.2,21.2,54
7-Jan-10,16.6,18.4,13.2,80.3,88,75,1016.3,1019.9,1012.9,0,4.5,SSE,29,2.1,94.3,56.1,24.1
8-Jan-10,16.1,18.4,13.1,79.9,89,70,1019.5,1021.4,1016.9,0,3.5,E,25.7,2.4,134.5,62,17
9-Jan-10,17.2,18.6,15.9,77.1,85,70,1014.7,1016.8,1012.1,0,9,SSE,37,0.8,15,43.7,47.4
10-Jan-10,14.3,18.1,10.2,61.9,85,38,1012,1014.3,1009.6,0,5.3,SW,38.6,0.5,5.6,36,52
11-Jan-10,12.3,14.4,10.3,61.5,70,54,1016.7,1018.7,1014.5,0,4.2,WSW,32.2,0.7,10.5,48.3,40.6
12-Jan-10,12.6,14.9,10.7,69.7,77,60,1011.5,1016,1009.2,0.6,0.5,SSW,12.9,2,102,78.7,9.7
13-Jan-10,12.4,15.2,9.8,67.2,87,49,1009.5,1010.9,1007.9,3.4,1.6,W,16.1,1.3,44,66.8,16
14-Jan-10,11.1,11.9,10.2,78.6,87,72,1009.6,1014.2,1006.4,3.8,7.3,N,29,1.7,51,55.2,13
15-Jan-10,11.8,14.3,9.1,73.5,83,63,1016.3,1018.1,1014.1,0.2,5.5,NNE,37,2,60.7,59.5,9.5
16-Jan-10,10,11.6,9.3,78.5,85,74,1019.8,1022.8,1017.2,4.4,17.8,NNE,56.3,1.1,34.9,40.5,23.5
17-Jan-10,10.2,12.2,8.7,72,80,64,1021.6,1023.4,1019.3,0.2,9.7,NNE,43.5,1.1,33.8,39.2,19.7
18-Jan-10,10.3,12.8,7.9,74.9,84,66,1016.2,1019.4,1014,0,1.2,WSW,16.1,1.6,68.1,54.3,5.3
19-Jan-10,9.5,12.4,7.7,62.9,74,50,1013.3,1014,1012.3,0,2.5,WSW,19.3,1.5,45.7,55.9,12.8
20-Jan-10,8.7,11.9,6.3,58.3,70,43,1014.9,1017.5,1013,0,1.8,WSW,17.7,1.4,47.6,53.4,18.3
21-Jan-10,9,12.9,5.4,68.5,85,50,1016.6,1019.2,1010.2,4.4,4.5,N,33.8,2.3,130.4,68.6,14.4
22-Jan-10,8,9.9,6,78.4,87,72,1011.2,1016,1007.6,6.2,10.7,NNE,43.5,1.5,40.2,53.5,24.1
23-Jan-10,6.5,8.6,5.6,72.1,81,64,1019.7,1022.7,1015.8,0,9.8,NNE,33.8,1.5,39.9,47.3,20
24-Jan-10,5.6,7.6,4.4,75.8,83,69,1024.3,1027,1022,0.4,6.7,NNE,29,1.2,23.5,46.6,24.6
25-Jan-10,4.5,6.3,3.1,70.1,82,62,1030.9,1034.3,1027,0,11.7,NNE,41.8,1.4,24.9,45.4,34
26-Jan-10,4.7,5.8,3,63.5,72,55,1032.3,1034.7,1028.8,0,8.6,N,32.2,1.7,35.6,53.6,27.9
27-Jan-10,5.9,7.1,5.1,75.8,87,67,1021.7,1028.7,1013,6.8,6.1,N,25.7,2,40.6,56.8,15.9
28-Jan-10,8.7,10.5,5.5,84,90,77,1007.4,1012.9,1001.6,0.4,0.4,NNW,9.7,2.5,86.3,68.8,2.7
29-Jan-10,12.5,17.4,8.2,73.9,94,51,1000.8,1002.6,999.1,0.2,2.7,NNW,35.4,3,122,57.8,14.8
30-Jan-10,13,16.8,8.2,69.1,88,50,1002.5,1003.8,1001.4,0,2.5,NW,27.4,2.8,119.9,57,18.4
31-Jan-10,13.9,16,10.8,64,81,52,1004.7,1010.8,1000.6,0,5.8,SW,40.2,0.7,5.8,27.2,48.9
1-Feb-10,14.1,18.5,10.4,60.6,76,47,1009.2,1010.7,1007.2,0,5.1,S,38.6,1.1,27.8,37.1,41
2-Feb-10,7.9,11.7,4.3,71.1,88,55,1010,1017.5,1004.1,9.8,4.8,N,33.8,1.2,24,39.2,26.8
3-Feb-10,5.1,8.2,2.2,46.3,65,27,1021.8,1023.6,1017.5,0,3.6,N,29,1.3,26.9,36.9,36.7
4-Feb-10,8.4,14.3,2.3,49.5,75,25,1023.9,1025.2,1022.3,0,1.2,N,16.1,3.4,131.2,62.9,12.9
5-Feb-10,9.1,13.1,4.2,64.1,74,55,1024.8,1025.8,1023.8,0,3.8,NE,22.5,3.5,117.1,58.8,7.7
6-Feb-10,11.9,14.3,8.9,73.9,87,64,1015.6,1023.8,1007.3,2.4,8.3,S,49.9,1.3,26.3,35.7,28.3
7-Feb-10,11.5,13.6,7.9,84.7,90,76,1002,1007.2,998.5,7.8,3.4,S,43.5,1,16.2,32.7,26.5
8-Feb-10,10.2,14.4,7.9,75.5,90,55,1001.6,1006.2,998.6,13.8,2.1,W,16.1,1.7,38.2,38.4,10.7
