City,PM2.5,PM10,NOx,NH3,CO,SO2,O3
0,48.57,95.68,17.15,15.85,0.92,27.64,133.36
0,48.57,95.68,16.46,15.85,0.97,24.55,34.06
0,48.57,95.68,29.7,15.85,17.4,29.07,30.7
0,48.57,95.68,17.97,15.85,1.7,18.59,36.08
0,48.57,95.68,37.76,15.85,22.1,39.33,39.31
0,48.57,95.68,81.5,15.85,45.41,45.76,46.51
0,48.57,95.68,130.77,15.85,112.16,32.28,33.47
0,48.57,95.68,96.75,15.85,80.87,38.54,31.89
0,48.57,95.68,48,15.85,29.16,58.68,25.75
0,48.57,95.68,0,15.85,0.89,8.29,4.55
0,48.57,95.68,24.53,15.85,132.07,25.03,6.79
0,48.57,95.68,90.24,15.85,52.04,51.84,45.89
0,48.57,95.68,87.09,15.85,48.82,68.21,35.16
0,48.57,95.68,33.05,15.85,19.2,52.65,20.96
0,48.57,95.68,16.6,15.85,0.6,28.89,47.63
0,48.57,95.68,22.86,15.85,1.63,38.27,46.03
0,48.57,95.68,34.75,15.85,11.44,49.5,52.24
0,48.57,95.68,29.57,15.85,6.1,48.43,53.49
0,48.57,95.68,27.45,15.85,2.51,50.03,49.48
0,48.57,95.68,32.4,15.85,7.92,58.87,56.37
0,48.57,95.68,39.28,15.85,9.52,106.93,48.75
0,48.57,95.68,22.33,15.85,9.05,23.71,42.22
0,48.57,95.68,47.79,15.85,22.53,39.19,32.92
0,48.57,95.68,21.4,15.85,2.03,40.07,32.49
0,48.57,95.68,20.19,15.85,1.42,58.41,39.26
0,48.57,95.68,21.81,15.85,2.27,43.73,39.83
0,48.57,95.68,23.26,15.85,2.19,43.28,41.1
0,73.24,95.68,25.84,15.85,5.72,36.52,62.42
0,83.13,95.68,33.72,15.85,6.93,49.52,59.76
0,79.84,95.68,41.08,15.85,13.85,48.49,97.07
0,94.52,95.68,52.61,15.85,24.39,67.39,111.33
0,135.99,95.68,84.57,15.85,43.48,75.23,102.7
0,178.33,95.68,72.8,15.85,54.56,55.04,107.38
0,139.7,95.68,56.73,15.85,30.61,33.79,73.6
0,80.65,95.68,24,15.85,2.37,25.73,47.3
0,58.36,95.68,23.31,15.85,2.6,32.66,53.54
0,79.29,95.68,26.83,15.85,1.16,67.41,59.3
0,88.7,95.68,37.73,15.85,7.29,80.09,44.76
0,74.28,95.68,33.42,15.85,8.92,54.28,47.42
0,113.93,95.68,26.86,15.85,4.32,48.73,39.94
0,105.39,95.68,18.75,15.85,1.41,35.91,56.15
0,66.52,95.68,28.24,15.85,6.34,66.58,53.14
0,65.04,95.68,44.21,15.85,14.19,65.91,31.88
0,103.36,95.68,57.33,15.85,18.18,80.43,40.11
0,177.33,95.68,77.85,15.85,37.49,99.72,36.47
0,113.25,95.68,44.87,15.85,15.55,69.71,33.78
0,99.7,95.68,47.31,15.85,19.85,73.23,30.57
0,80.61,95.68,35.67,15.85,15.96,54.7,36.2
0,100.79,95.68,41.91,15.85,16.24,43.11,37.43
0,107.99,95.68,40.47,15.85,11.25,84.86,31.94
0,140.29,95.68,68.85,15.85,33.84,101.53,40.98
0,239.96,95.68,106.92,15.85,61.95,84.87,33.55
0,142.96,95.68,92.32,15.85,45.45,62.96,34.77
0,238.41,95.68,131.32,15.85,77.7,89.07,37.3
0,118.72,95.68,42.56,15.85,12.56,61.54,38.8
0,52.99,95.68,10.39,15.85,2.23,32.76,67.25
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,61.12,95.68,20.92,15.85,3.58,28.44,30.48
0,60.78,95.68,27.34,15.85,9.07,29.48,34.75
0,91.83,95.68,40.76,15.85,12.99,39.71,38.46
0,93.88,95.68,47.01,15.85,18.21,62.75,46.79
0,173.01,95.68,90.73,15.85,48.44,78.76,59.39
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
